DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2009,39.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2010,41.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2011,39.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2012,41.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2013,43.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2014,45.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2015,46.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2016,49.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2017,51.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2018,54.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2019,54.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,AT,2020,54.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2009,35.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2010,37.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2011,38.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2012,39.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2013,41.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2014,42.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2015,44.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2016,45.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2017,48.3,b
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2018,50.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2019,52.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BE,2020,53.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2009,45.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2010,44.2,b
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2011,44.0,b
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2012,45.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2013,46.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2014,49.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2015,52.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2016,53.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2017,57.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2018,59.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2019,63.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,BG,2020,63.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CH,2010,66.2,b
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CH,2011,67.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CH,2012,68.2,
